hast_genus_id,hast_family_id,family_apgiv,genus,genus_zh,acceptedGenus,acceptedNamecode
2471,527,Acanthaceae,Acanthus,,,
1483,527,Acanthaceae,Adhatoda,白珊瑚屬,,
2472,527,Acanthaceae,Aechmanthera,,,
1520,527,Acanthaceae,Andrographis,穿心蓮屬,,
1484,527,Acanthaceae,Aphelandra,單藥花屬,,
1485,527,Acanthaceae,Asystasia,十萬錯屬,,
1486,527,Acanthaceae,Asystasiella,擬馬偕花屬,,
1339,527,Acanthaceae,Avicennia,海茄苳屬,,
1487,527,Acanthaceae,Baphicacanthus,,,
1488,527,Acanthaceae,Barleria,假杜鵑屬,,
1489,527,Acanthaceae,Blechum,賽山藍屬,,
1490,527,Acanthaceae,Calliaspidia,小蝦花屬,,
2473,527,Acanthaceae,Calophanoides,,,
1491,527,Acanthaceae,Codonacanthus,針刺草屬,,
1492,527,Acanthaceae,Crossandra,鳥尾花屬,,
1493,527,Acanthaceae,Dicliptera,華九頭獅子草屬,,
1494,527,Acanthaceae,Dipteracanthus,蘆利草屬,,
13348,527,Acanthaceae,Echinacanthus,戀岩花屬,,
1495,527,Acanthaceae,Eranthemum,喜花草屬,,
1496,527,Acanthaceae,Fittonia,網紋草屬,,
1497,527,Acanthaceae,Gendarussa,尖尾鳳屬,,
1498,527,Acanthaceae,Goldfussia,,,
2443,527,Acanthaceae,Gymnostachyum,裸柱草屬,,
1499,527,Acanthaceae,Hemiadelphis,小獅子草屬,,
1500,527,Acanthaceae,Hemigraphis,半插花屬,,
1501,527,Acanthaceae,Hygrophila,水蓑衣屬,,
1502,527,Acanthaceae,Hypoestes,槍刀菜屬,,
1503,527,Acanthaceae,Jacobinia,,,
1504,527,Acanthaceae,Justicia,爵床屬,,
1505,527,Acanthaceae,Kudoacanthus,銀脈爵床屬,,
1506,527,Acanthaceae,Lepidagathis,鱗球花屬,,
2475,527,Acanthaceae,Leptosiphonium,,,
2340,527,Acanthaceae,Leptostachya,纖穗爵床,,
2346,527,Acanthaceae,Mananthes,野靛棵屬,,
2474,527,Acanthaceae,Marcania,,,
1507,527,Acanthaceae,Odontonema,紅樓花屬,,
2498,527,Acanthaceae,Oplonia,,,
1508,527,Acanthaceae,Parachampionella,,,
2478,527,Acanthaceae,Paragoldfussia,,,
2477,527,Acanthaceae,Pararuellia,,,
1509,527,Acanthaceae,Peristrophe,九頭獅子草屬,,
1518,527,Acanthaceae,Phlogacanthus,,,
1510,527,Acanthaceae,Pseuderanthemum,擬美花屬,,
2476,527,Acanthaceae,Pteracanthus,,,
1519,527,Acanthaceae,Pteroptychia,,,
1511,527,Acanthaceae,Rhinacanthus,仙鶴花屬,,
2479,527,Acanthaceae,Rostellularia,,,
1467,527,Acanthaceae,Ruellia,蘆利草屬,,
1512,527,Acanthaceae,Rungia,明萼草屬,,
1513,527,Acanthaceae,Sanchezia,金葉木屬,,
1514,527,Acanthaceae,Semnostachya,,,
1515,527,Acanthaceae,Staurogyne,哈哼花屬,,
1516,527,Acanthaceae,Strobilanthes,馬藍屬,,
1517,527,Acanthaceae,Thunbergia,鄧伯花屬,,
992,828,Achariaceae,Hydnocarpus,大風子屬,,
2072,757,Acoraceae,Acorus,菖蒲屬,,
535,350,Actinidiaceae,Actinidia,獼猴桃屬,,
2487,350,Actinidiaceae,Clematoclethra,,,
536,350,Actinidiaceae,Saurauia,水冬瓜屬,,
2493,714,Adoxaceae,Adoxa,五福花屬,,
1554,714,Adoxaceae,Sambucus,接骨木屬 (蒴藋屬),,
1555,714,Adoxaceae,Viburnum,莢蒾屬,,
320,321,Aizoaceae,Argyroderma,,,
321,321,Aizoaceae,Bergeranthus,,,
2492,321,Aizoaceae,Carpobrotus,,,
322,321,Aizoaceae,Conophyllum,,,
323,321,Aizoaceae,Conophytum,蟹蛺草屬,,
324,321,Aizoaceae,Delosperma,,,
325,321,Aizoaceae,Dorotheanthus,彩虹菊屬,,
326,321,Aizoaceae,Erepsia,,,
327,321,Aizoaceae,Faucaria,虎顎屬,,
328,321,Aizoaceae,Gibbaeum,,,
329,321,Aizoaceae,Glottiphyllum,寶綠屬,,
330,321,Aizoaceae,Hereroa,,,
331,321,Aizoaceae,Lampranthus,,,
332,321,Aizoaceae,Mesembryanthemum, 松葉菊屬,,
333,321,Aizoaceae,Nycteranthus,,,
334,321,Aizoaceae,Pleiospilos,,,
341,321,Aizoaceae,Rhinephyllum,,,
335,321,Aizoaceae,Sesuvium,海馬齒屬,,
336,321,Aizoaceae,Tetragonia,番杏屬,,
357,321,Aizoaceae,Titanopsis,,,
13378,321,Aizoaceae,Trianthema,海馬齒屬,,
902,854,Akaniaceae,Bretschneidera,鐘萼木屬,,
1713,601,Alismataceae,Alisma,澤瀉屬,,
1714,601,Alismataceae,Caldesia,圓葉澤瀉屬,,
2383,601,Alismataceae,Echinodorus,,,
1717,601,Alismataceae,Hydrocleys,水金英屬,,
1715,601,Alismataceae,Lophotocarpus,冠果草屬,,
1716,601,Alismataceae,Sagittaria,慈姑屬,,
2485,712,Alstroemeriaceae,Alstroemeria,百合水仙屬,,
2512,793,Altingiaceae,Altingia,蕈樹屬,,
589,793,Altingiaceae,Liquidambar,楓香屬,,
366,326,Amaranthaceae,Achyranthes,牛膝屬,,
367,326,Amaranthaceae,Aerva,絹毛莧屬,,
2515,326,Amaranthaceae,Allmania,砂莧屬,,
368,326,Amaranthaceae,Alternanthera,蓮子草屬,,
369,326,Amaranthaceae,Amaranthus,莧屬,,
10619,326,Amaranthaceae,Arthrophytum,,,
