id,hast_family_id,ptype,family,family_zh,family_apgiv,family_apgiv_zh
1,101,1,Psilotaceae,松葉蕨科,,
2,102,1,Lycopodiaceae,石松科,,
3,103,1,Selaginellaceae,卷柏科,,
4,104,1,Isoetaceae,水韭科,,
5,105,1,Equisetaceae,木賊科,,
6,106,1,Ophioglossaceae,瓶爾小草科,,
7,107,1,Marattiaceae,觀音座蓮科,,
8,108,1,Osmundaceae,紫萁科,,
9,109,1,Schizaeaceae,海金沙科,,
10,110,1,Gleicheniaceae,裏白科,,
11,111,1,Hymenophyllaceae,膜蕨科,,
12,112,1,Plagiogyriaceae,瘤足蕨科,,
13,113,1,Dicksoniaceae,蚌殼蕨科,,
14,114,1,Cyatheaceae,桫欏科,,
15,115,1,Dennstaedtiaceae,碗蕨科,,
16,116,1,Lindsaeaceae,陵齒蕨科,,
17,117,1,Davalliaceae,骨碎補科,,
18,118,1,Oleandraceae,蓧蕨科,,
19,119,1,Pteridaceae,鳳尾蕨科,,
20,120,1,Adiantaceae,鐵線蕨科,,
21,121,1,Vittariaceae,書帶蕨科,,
22,122,1,Onocleaceae,球子蕨科,,
23,123,1,Blechnaceae,烏毛蕨科,,
24,124,1,Aspidiaceae,三叉蕨科,,
25,125,1,Dryopteridaceae,鱗毛蕨科,,
26,126,1,Lomariopsidaceae,羅蔓藤蕨科,,
27,127,1,Thelypteridaceae,金星蕨科,,
28,128,1,Athyriaceae,蹄蓋蕨科,,
29,129,1,Aspleniaceae,鐵角蕨科,,
30,130,1,Dipteridaceae,雙扇蕨科,,
31,131,1,Cheiropleuriaceae,燕尾蕨科,,
32,132,1,Polypodiaceae,水龍骨科,,
33,133,1,Grammitidaceae,禾葉蕨科,,
34,134,1,Parkeriaceae,水蕨科,,
35,135,1,Marsileaceae,蘋科,,
36,136,1,Salviniaceae,槐葉蘋科,,
37,137,1,Azollaceae,滿江紅科,,
38,201,2,Cycadaceae,蘇鐵科,,
39,202,2,Ginkgoaceae,銀杏科,,
40,203,2,Taxaceae,紅豆杉科,,
41,204,2,Amentotaxaceae,穗花杉科,,
42,205,2,Cephalotaxaceae,粗榧科,,
43,206,2,Podocarpaceae,羅漢松科,,
44,207,2,Pinaceae,松科,,
45,208,2,Taxodiaceae,杉科,,
46,209,2,Araucariaceae,南洋杉科,,
47,210,2,Cupressaceae,柏科,,
48,301,3,Casuarinaceae,木麻黃科,Casuarinaceae,木麻黃科
49,302,3,Myricaceae,楊梅科,Myricaceae,楊梅科
50,303,3,Juglandaceae,胡桃科,Juglandaceae,胡桃科
51,304,3,Salicaceae,楊柳科,Salicaceae,楊柳科
52,305,3,Betulaceae,樺木科,Betulaceae,樺木科
53,306,3,Fagaceae,殼斗科,Fagaceae,殼斗科
54,307,3,Ulmaceae,榆科,Ulmaceae,榆科
55,308,3,Moraceae,桑科,Moraceae,桑科
56,309,3,Cecropiaceae,錐頭麻科,,
57,310,3,Urticaceae,蕁麻科,Urticaceae,蕁麻科
58,311,3,Proteaceae,山龍眼科,Proteaceae,山龍眼科
59,312,3,Olacaceae,鐵青樹科,Olacaceae,鐵青樹科
60,313,3,Santalaceae,檀香科,Santalaceae,檀香科
61,314,3,Opiliaceae,山柚科,Opiliaceae,山柚科
62,315,3,Loranthaceae,桑寄生科,Loranthaceae,桑寄生科
63,316,3,Balanophoraceae,蛇菰科,Balanophoraceae,蛇菰科
64,317,3,Polygonaceae,蓼科,Polygonaceae,蓼科
65,318,3,Phytolaccaceae,商陸科,Phytolaccaceae,商陸科
66,319,3,Nyctaginaceae,紫茉莉科,Nyctaginaceae,紫茉莉科
67,320,3,Molluginaceae,粟米草科,Molluginaceae,粟米草科
68,321,3,Aizoaceae,番杏科,Aizoaceae,番杏科
69,322,3,Portulacaceae,馬齒莧科,Portulacaceae,馬齒莧科
70,323,3,Basellaceae,落葵科,Basellaceae,落葵科
71,324,3,Caryophyllaceae,石竹科,Caryophyllaceae,石竹科
72,325,3,Chenopodiaceae,藜科,,
73,326,3,Amaranthaceae,莧科,Amaranthaceae,莧科
74,327,3,Cactaceae,仙人掌科,Cactaceae,仙人掌科
75,328,3,Magnoliaceae,木蘭科,Magnoliaceae,木蘭科
76,329,3,Annonaceae,番荔枝科,Annonaceae,番荔枝科
77,330,3,Myristicaceae,肉豆蔻科,Myristicaceae,肉荳蔻科
78,331,3,Schisandraceae,五味子科,Schisandraceae,五味子科
79,332,3,Illiciaceae,八角科,,
80,333,3,Lauraceae,樟科,Lauraceae,樟科
81,334,3,Hernandiaceae,蓮葉桐科,Hernandiaceae,蓮葉桐科
82,335,3,Trochodendraceae,昆欄樹科,Trochodendraceae,昆欄樹科
83,336,3,Ranunculaceae,毛茛科,Ranunculaceae,毛茛科
84,337,3,Berberidaceae,小檗科,Berberidaceae,小檗科
85,338,3,Lardizabalaceae,木通科,Lardizabalaceae,木通科
86,339,3,Menispermaceae,防己科,Menispermaceae,防己科
87,340,3,Nelumbonaceae,蓮科,Nelumbonaceae,蓮科
88,341,3,Nymphaeaceae,睡蓮科,Nymphaeaceae,睡蓮科
89,342,3,Cabombaceae,蓴科,Cabombaceae,蓴科
90,343,3,Ceratophyllaceae,金魚藻科,Ceratophyllaceae,金魚藻科
91,344,3,Saururaceae,三白草科,Saururaceae,三白草科
92,345,3,Piperaceae,胡椒科,Piperaceae,胡椒科
93,346,3,Chloranthaceae,金粟蘭科,Chloranthaceae,金粟蘭科
94,347,3,Aristolochiaceae,馬兜鈴科,Aristolochiaceae,馬兜鈴科
95,348,3,Rafflesiaceae,大花草科,Rafflesiaceae,大花草科
96,349,3,Dilleniaceae,第倫桃科,Dilleniaceae,第倫桃科
97,350,3,Actinidiaceae,獼猴桃科,Actinidiaceae,獼猴桃科
98,351,3,Theaceae,茶科,Theaceae,茶科
99,352,3,Clusiaceae,金絲桃科,Clusiaceae,藤黃科
100,353,3,Droseraceae,茅膏菜科,Droseraceae,茅膏菜科
101,354,3,Papaveraceae,罌粟科,Papaveraceae,罌粟科
102,355,3,Fumariaceae,紫堇科,,
103,356,3,Capparaceae,山柑科(白花菜科),Capparaceae,山柑科
104,357,3,Brassicaceae,十字花科,Brassicaceae,十字花科
105,401,3,Resedaceae,木犀草科,Resedaceae,木樨草科
106,402,3,Platanaceae,洋桐木科,Platanaceae,懸鈴木科
107,403,3,Hamamelidaceae,金縷梅科,Hamamelidaceae,金縷梅科
108,404,3,Crassulaceae,景天科,Crassulaceae,景天科
109,405,3,Saxifragaceae,虎耳草科,Saxifragaceae,虎耳草科
110,406,3,Pittosporaceae,海桐科,Pittosporaceae,海桐科
111,407,3,Rosaceae,薔薇科,Rosaceae,薔薇科
112,408,3,Connaraceae,牛栓藤科,Connaraceae,牛栓藤科
113,409,3,Fabaceae,豆科,Fabaceae,豆科
114,410,3,Oxalidaceae,酢漿草科,Oxalidaceae,酢醬草科
115,411,3,Geraniaceae,牻牛兒苗科,Geraniaceae,牻牛兒苗科
116,412,3,Tropaeolaceae,金蓮花科,Tropaeolaceae,金蓮花科
117,413,3,Zygophyllaceae,疾藜科,Zygophyllaceae,蒺藜科
118,414,3,Erythroxylaceae,高卡科,Erythroxylaceae,古柯科
119,415,3,Euphorbiaceae,大戟科,Euphorbiaceae,大戟科
120,416,3,Daphniphyllaceae,虎皮楠科,Daphniphyllaceae,虎皮楠科
121,417,3,Rutaceae,芸香科,Rutaceae,芸香科
122,418,3,Simaroubaceae,苦木科,Simaroubaceae,苦木科
123,419,3,Burseraceae,橄欖科,Burseraceae,橄欖科
124,420,3,Meliaceae,楝科,Meliaceae,楝科
