hast_familyID|hast_family|hast_familyZh
101|Psilotaceae|松葉蕨科
102|Lycopodiaceae|石松科
103|Selaginellaceae|卷柏科
104|Isoetaceae|水韭科
105|Equisetaceae|木賊科
106|Ophioglossaceae|瓶爾小草科
107|Marattiaceae|觀音座蓮科
108|Osmundaceae|紫萁科
109|Schizaeaceae|海金沙科
110|Gleicheniaceae|裏白科
111|Hymenophyllaceae|膜蕨科
112|Plagiogyriaceae|瘤足蕨科
113|Dicksoniaceae|蚌殼蕨科
114|Cyatheaceae|桫欏科
115|Dennstaedtiaceae|碗蕨科
116|Lindsaeaceae|陵齒蕨科
117|Davalliaceae|骨碎補科
118|Oleandraceae|蓧蕨科
119|Pteridaceae|鳳尾蕨科
120|Adiantaceae|鐵線蕨科
121|Vittariaceae|書帶蕨科
122|Onocleaceae|球子蕨科
123|Blechnaceae|烏毛蕨科
124|Aspidiaceae|三叉蕨科
125|Dryopteridaceae|鱗毛蕨科
126|Lomariopsidaceae|羅蔓藤蕨科
127|Thelypteridaceae|金星蕨科
128|Athyriaceae|蹄蓋蕨科
129|Aspleniaceae|鐵角蕨科
130|Dipteridaceae|雙扇蕨科
131|Cheiropleuriaceae|燕尾蕨科
132|Polypodiaceae|水龍骨科
133|Grammitidaceae|禾葉蕨科
134|Parkeriaceae|水蕨科
135|Marsileaceae|蘋科
136|Salviniaceae|槐葉蘋科
137|Azollaceae|滿江紅科
201|Cycadaceae|蘇鐵科
202|Ginkgoaceae|銀杏科
203|Taxaceae|紅豆杉科
204|Amentotaxaceae|穗花杉科
205|Cephalotaxaceae|粗榧科
206|Podocarpaceae|羅漢松科
207|Pinaceae|松科
208|Taxodiaceae|杉科
209|Araucariaceae|南洋杉科
210|Cupressaceae|柏科
301|Casuarinaceae|木麻黃科
302|Myricaceae|楊梅科
303|Juglandaceae|胡桃科
304|Salicaceae|楊柳科
305|Betulaceae|樺木科
306|Fagaceae|殼斗科
307|Ulmaceae|榆科
308|Moraceae|桑科
309|Cecropiaceae|錐頭麻科
310|Urticaceae|蕁麻科
311|Proteaceae|山龍眼科
312|Olacaceae|鐵青樹科
313|Santalaceae|檀香科
314|Opiliaceae|山柚科
315|Loranthaceae|桑寄生科
316|Balanophoraceae|蛇菰科
317|Polygonaceae|蓼科
318|Phytolaccaceae|商陸科
319|Nyctaginaceae|紫茉莉科
320|Molluginaceae|粟米草科
321|Aizoaceae|番杏科
322|Portulacaceae|馬齒莧科
323|Basellaceae|落葵科
324|Caryophyllaceae|石竹科
325|Chenopodiaceae|藜科
326|Amaranthaceae|莧科
327|Cactaceae|仙人掌科
328|Magnoliaceae|木蘭科
329|Annonaceae|番荔枝科
330|Myristicaceae|肉豆蔻科
331|Schisandraceae|五味子科
332|Illiciaceae|八角科
333|Lauraceae|樟科
334|Hernandiaceae|蓮葉桐科
335|Trochodendraceae|昆欄樹科
336|Ranunculaceae|毛茛科
337|Berberidaceae|小檗科
338|Lardizabalaceae|木通科
339|Menispermaceae|防己科
340|Nelumbonaceae|蓮科
341|Nymphaeaceae|睡蓮科
342|Cabombaceae|蓴科
343|Ceratophyllaceae|金魚藻科
344|Saururaceae|三白草科
345|Piperaceae|胡椒科
346|Chloranthaceae|金粟蘭科
347|Aristolochiaceae|馬兜鈴科
348|Rafflesiaceae|大花草科
349|Dilleniaceae|第倫桃科
350|Actinidiaceae|獼猴桃科
351|Theaceae|茶科
352|Clusiaceae|金絲桃科
353|Droseraceae|茅膏菜科
354|Papaveraceae|罌粟科
355|Fumariaceae|紫堇科
356|Capparaceae|山柑科(白花菜科)
357|Brassicaceae|十字花科
401|Resedaceae|木犀草科
402|Platanaceae|洋桐木科
403|Hamamelidaceae|金縷梅科
404|Crassulaceae|景天科
405|Saxifragaceae|虎耳草科
406|Pittosporaceae|海桐科
407|Rosaceae|薔薇科
408|Connaraceae|牛栓藤科
409|Fabaceae|豆科
410|Oxalidaceae|酢漿草科
411|Geraniaceae|牻牛兒苗科
412|Tropaeolaceae|金蓮花科
413|Zygophyllaceae|疾藜科
414|Erythroxylaceae|高卡科
415|Euphorbiaceae|大戟科
416|Daphniphyllaceae|虎皮楠科
417|Rutaceae|芸香科
418|Simaroubaceae|苦木科
419|Burseraceae|橄欖科
420|Meliaceae|楝科
421|Malpighiaceae|黃褥花科
422|Polygalaceae|遠志科
423|Coriariaceae|馬桑科
424|Anacardiaceae|漆樹科
425|Aceraceae|槭樹科
426|Sapindaceae|無患子科
427|Bretschneideraceae|鐘萼木科
428|Sabiaceae|清風藤科
429|Balsaminaceae|鳳仙花科
430|Aquifoliaceae|冬青科
431|Celastraceae|衛矛科
432|Staphyleaceae|省沽油科
