hast_speciesID|hast_genusID|hast_species|hast_speciesZh
1|1|Psilotum nudum (L.) Beauv.|松葉蕨
2|5|Selaginella boninensis Bak.|小笠原卷柏
3|2|Lycopodium carinatum Desv.|覆葉石松
4|2|Lycopodium casuarinoides Spring|木賊葉石松
5|2|Lycopodium cernuum L.|過山龍
6|2|Lycopodium clavatum L.|石松
7|2|Lycopodium complanatum L.|地刷子
8|2|Lycopodium cryptomerianum Maxim.|柳杉葉蔓石松
9|2|Lycopodium cunninghamioides Hayata|寬葉石松
10|2|Lycopodium fargesii Hert.|銳葉石松
11|2|Lycopodium fordii Baker.|福氏石松
12|2|Lycopodium obscurum L.|玉柏
13|2|Lycopodium phlegmaria L.|垂枝石松
14|2|Lycopodium quasipolytrichoides Hayata|反捲葉石松
15|2|Lycopodium salvinioides (Hert.) Tagawa|小垂枝石松
16|2|Lycopodium selago L. var. appressum Desv.|小杉葉石松
17|2|Lycopodium serratum Thunb. var. longipetiolatum Spring|長柄千層塔
18|2|Lycopodium serratum Thunb. var. myriophyllifolium Hayata|千層塔
19|2|Lycopodium serratum Thunb.|千層塔
20|2|Lycopodium sieboldii Miq.|鱗葉石松
21|2|Lycopodium somae Hayata|相馬氏石松
22|2|Lycopodium squarrosum Forst.|杉葉石松
23|2|Lycopodium taiwanense Kuo|台灣石松(綠葉蔓石松)
24|2|Lycopodium veitchii Christ|玉山石松
25|2|Lycopodium japonicum Thunb.|日本石松
26|2|Lycopodium juniperoideum Swart|玉柏
27|2|Lycopodium multispicatum J. H. Wilce|地刷子
28|2|Lycopodium pseudoclavatum Ching|假石松
29|2|Lycopodium yueshanense Kuo|玉山地刷
30|2|Lycopodium hamiltonii Spring|福氏石松
31|2|Lycopodium wightianum Wall.|偉氏石松
32|3|Huperzia quasipolytrichoides (Hayata) Ching|反捲葉石杉
33|3|Huperzia selago (L.) Bernh var. appressum (Desv.) Ching|小杉葉石杉
34|3|Huperzia serrata (Thunb.) Trev.|千層塔
35|3|Huperzia somai (Hayata) Ching|相馬氏石杉
36|3|Huperzia serratum Thunb. var. longipetiolatum Spring|長柄千層塔
37|4|Lycopodiella cernua (L.) Pichi Sermolli|過山龍
38|2|Lycopodium annotinum L.|杉葉蔓石松
39|5|Selaginella ciliaris (Retz.) Spring|緣毛卷柏
40|5|Selaginella delicatula (Desv.) Alston|全緣卷柏
41|5|Selaginella doederleinii Hieron.|生根卷柏
42|5|Selaginella heterostachys Bak.|姬卷柏
43|5|Selaginella involvens (Sw.) Spring|密葉卷柏
44|5|Selaginella labordei Hieron. ex Christ|玉山卷柏
45|5|Selaginella leptophylla Bak.|膜葉卷柏
46|5|Selaginella moellendorffii Hieron.|異葉卷柏
47|5|Selaginella nipponica Fr. & Sav.|日本卷柏
48|5|Selaginella remotifolia Spring|疏葉卷柏
49|5|Selaginella repanda (Desv. ex Poir) Spring|高雄卷柏
50|5|Selaginella stauntoniana Spring|擬密葉卷柏
51|5|Selaginella tamariscina (Beauv.) Spring|萬年松
52|5|Selaginella morrisonensis Hayata|玉山卷柏
53|5|Selaginella pseudonipponica Tagawa|擬日本卷柏
54|5|Selaginella satakeana Koidz|狹葉卷柏
55|5|Selaginella tarokoensis Yamamoto|太魯閣卷柏
56|5|Selaginella uncinata (Desv.) Spring|翠雲草
57|6|Isoetes taiwanensis DeVol|台灣水韭
58|7|Equisetum ramosissimum Desf. subsp. debile (Roxb.) Hauke|台灣木賊
59|7|Equisetum ramosissimum Desf.|木賊
60|7|Equisetum ramosissimum Desf. subsp. ramosissimum|木賊
61|8|Botrychium daucifolium (Wall.) Hook. & Grev.|薄葉大陰地蕨
62|8|Botrychium lanuginosum (Wall.) Hook. & Grev.|阿里山蕨萁
63|8|Botrychium lunaria (L.) Sw.|扇羽陰地蕨
64|8|Botrychium ternatum (Thunb.) Sw.|大陰地蕨(大羽陰地蕨)
65|8|Botrychium formosanum Tagawa|薄葉大陰地蕨
66|8|Botrychium japonicum Undrew.|薄葉大陰地蕨
67|9|Helminthostachys zeylanica (L.) Hook.|錫蘭七指蕨
68|10|Ophioderma pendula (L.) Presl|帶狀瓶爾小草
69|11|Ophioglossum austroasiaticum Nishida|高山瓶爾小草(鈍頭瓶爾小草)
70|11|Ophioglossum petiolatum Hook.|銳頭瓶爾小草
71|11|Ophioglossum pendulum L.|帶狀瓶爾小草
72|11|Ophioglossum reticulatum L.|網脈瓶爾小草
73|11|Ophioglossum vulgatum L.|瓶爾小草
74|11|Ophioglossum thermale Komarov|狹葉瓶兒小草
75|12|Angiopteris lygodiifolia Rosenst.|觀音座蓮
76|12|Angiopteris palmiformis (Cav.) C. Chr.|蘭嶼觀音座蓮
77|12|Angiopteris itoi (Shieh) J.M. Gamus|伊藤氏原始觀音座蓮
78|12|Angiopteris somae (Hayata) Makino & Nemoto|台灣原始觀音座蓮
79|13|Archangiopteris somai Hayata|台灣原始觀音座蓮
80|13|Archangiopteris itoi Shieh|伊藤氏原始觀音座蓮
81|13|Archangiopteris henryi Christ & Gies. var. somai (Hayata) Tagawa|台灣原始觀音座蓮
82|13|Archangiopteris hokouensis Ching|河口原始觀音座蓮
83|14|Marattia pellucida Presl|觀音座蓮舅
84|15|Osmunda banksiaefolia (Pr.) Kuhn|粗齒革葉紫萁
85|15|Osmunda cinnamomea L.|假紫萁(分株假紫萁)
86|15|Osmunda claytoniana L.|絨假紫萁(台灣絨假紫萁)
87|15|Osmunda japonica Thunb.|紫萁
88|16|Lygodium japonicum (Thunb.) Sw.|海金沙
89|16|Lygodium microphyllum (Cav.) R. Brown|小葉海金沙
90|17|Schizaea dichotoma (L.) Sm.|分枝莎草蕨
91|17|Schizaea digitata (L.) Sw.|莎草蕨
92|18|Actinostachys digitata Wall. ex Read|莎草蕨
93|19|Dicranopteris linearis (Burm. F.) Underw. Var. linearis|芒萁
94|19|Dicranopteris linearis (Burm. f.) Underw.|芒萁
95|19|Dicranopteris linearis (Burm. f.) Underw. var. tetraphylla (Rosenst.) Nakai|蔓芒萁
96|19|Dicranopteris linearis (Burm. f.) Underw. var. subpectinata (Christ) Holtt.|賽芒萁
97|19|Dicranopteris linearis (Burm. f.) Underw. var. montana Holtt.|大羽芒萁
98|19|Dicranopteris taiwanensis Ching et Chiu|臺灣芒萁(大羽芒萁)
99|19|Dicranopteris tetraphylla (Rosenst) Kuo|蔓芒萁
100|19|Dicranopteris subpectinata (Christ) Kuo|賽芒萁
101|20|Diplopterygium blotianum (C. Chr.) Nakai|逆羽裏白
102|20|Diplopterygium chinensis (Rosenst.) DeVol|中華裏白
103|20|Diplopterygium glaucum (Houtt.) Nakai|裏白
104|20|Diplopterygium laevissimum (Christ) Nakai|鱗芽裏白
105|21|Abrodictyum cumingii Presl.|長片蕨
106|22|Callistopteris apiifolia (Presl.) Copel.|毛桿蕨
107|23|Cephalomanes laciniatum (Roxb.) DeVol|菲律賓厚葉蕨
108|23|Cephalomanes apiifolium (Presl.) K. Iwats.|毛桿蕨
109|23|Cephalomanes clathratum (Tagawa) K. Iwats.|厚葉蕨
110|23|Cephalomanes cumingii (Makino) K. Iwats.|長片蕨
111|23|Cephalomanes javanicum (Bl.) v. d. Bosch var. asplenioides (C. Chr.) K. Iwats.|菲律賓厚葉蕨
112|23|Cephalomanes obscurum (Bl.) K. Iwats.|線片長筒蕨
113|23|Cephalomanes thysanostomum (Makino) K. Iwats.|球毛桿蕨
114|24|Crepidomanes bilabiatum (Nees & Bl.) Copel.|圓唇假脈蕨
115|24|Crepidomanes latealatum (v. d. Bosch) Copel.|翅柄假脈蕨
116|24|Crepidomanes latemarginale (Eat.) Copel.|闊邊假脈蕨
117|24|Crepidomanes palmifolium (Hayata) DeVol|變葉假脈蕨
118|24|Crepidomanes auriculatum (Bl.) K. Iwats.|瓶蕨
119|24|Crepidomanes bipunctatum (Poir.) Copel.|圓唇假脈蕨
120|24|Crepidomanes birmanicum (Bedd.) K. Iwats.|華東瓶蕨
121|24|Crepidomanes humilis (Forst.) v. d. Bosch|厚邊蕨
122|24|Crepidomanes kurzii (Bedd.) Tagawa & K. Iwats.|假脈蕨
123|24|Crepidomanes maximum (Bl.) K. Iwats.|大葉瓶蕨
124|24|Crepidomanes minutum (Bl.) K. Iwats.|團扇蕨
125|24|Crepidomanes pallidum (Bl.) K. Iwats.|毛葉蕨
126|24|Crepidomanes schmidtianum (Zenker ex Taschn.) K. Iwats var. latifrons (v. d. Bosch) K. Iwats.|寬葉瓶蕨
127|25|Gonocormus minutus (Bl.) v. d. Bosch|團扇蕨
128|26|Hymenophyllum barbatum (Bosch) Baker|華東膜蕨
129|26|Hymenophyllum devolii Lai|台灣膜蕨
130|26|Hymenophyllum simonsianum Hook.|寬片膜蕨
131|26|Hymenophyllum badium Hook. & Grev.|蕗蕨
132|26|Hymenophyllum blandum Racib|爪哇厚壁蕨
133|26|Hymenophyllum denticulatum Sw.|厚壁蕨
134|26|Hymenophyllum fimbriatum J. Sm.|叢葉蕗蕨
135|26|Hymenophyllum holochilum (v. d. Bosch) C. Chr.|南洋厚壁蕨
136|26|Hymenophyllum javaicum Sprengel|爪哇蕗蕨
137|26|Hymenophyllum oligosorum Makino|長毛蕗蕨
138|26|Hymenophyllum polyanthos (Sw.) Sw.|細葉蕗蕨
139|26|Hymenophyllum productum Kunze|南洋蕗蕨
140|26|Hymenophyllum taiwanianum (Tagawa) Morton|臺灣蕗蕨
141|26|Hymenophyllum wrightii v. d. Bosch|萊氏蕗蕨
142|27|Mecodium badium (Hook. & Grev.) Copel.|蕗蕨
143|27|Mecodium javanicum (Spreng.) Copel.|爪哇蕗蕨
144|27|Mecodium oligosorum (Makino) H. Ito|長毛蕗蕨
145|27|Mecodium polyanthos (Sw.) Copel.|細葉蕗蕨
