Amborellaceae|無油樟科
Hydatellaceae|獨蕊草科
Austrobaileyaceae|木蘭藤科
Trimeniaceae|早落瓣科
Canellaceae|白樟科
Winteraceae|林仙科
Degeneriaceae|單心木蘭科
Himantandraceae|瓣蕊花科
Eupomatiaceae|帽花木科
Siparunaceae|罈罐花科
Gomortegaceae|葵樂果科
Atherospermataceae|香皮茶科
Monimiaceae|杯軸花科
Acoraceae|菖蒲科
Tofieldiaceae|巖菖蒲科
Scheuchzeriaceae|冰沼草科
Maundiaceae|花香蒲科
Posidoniaceae|海神草科
Velloziaceae|翡若翠科
Campynemataceae|一葉草科
Corsiaceae|白玉簪科
Melanthiaceae|黑葯花科
Petermanniaceae|花鬚藤科
Colchicaceae|秋水仙科
Philesiaceae|智利花科
Ripogonaceae|無鬚藤科
Boryaceae|耐旱草科
Blandfordiaceae|疣毛子科
Asteliaceae|無柱花科
Lanariaceae|毛石蒜科
Doryanthaceae|矛纓花科
Ixioliriaceae|鳶尾蒜科
Tecophilaeaceae|異蕊草科
Xeronemataceae|血劍草科
Asphodelaceae|金穗花科
Asparagaceae|天門冬科
Dasypogonaceae|毛瓣花科
Hanguanaceae|缽子草科
Lowiaceae|蘭花蕉科
Heliconiaceae|蝎尾蕉科
Costaceae|閉鞘薑科
Rapateaceae|澤藺花科
Mayacaceae|花水蘚科
Thurniaceae|梭子草科
Joinvilleaceae|擬葦科
Ecdeiocoleaceae|溝稈草科
Eupteleaceae|領春木科
Myrothamnaceae|折扇葉科
Peridiscaceae|翼蕊木科
Altingiaceae|蕈樹科
Cercidiphyllaceae|連香樹科
Iteaceae|鼠刺科
Grossulariaceae|茶藨子科
Aphanopetalaceae|隱瓣藤科
Tetracarpaeaceae|四果木科
Penthoraceae|扯根菜科
Krameriaceae|刺球果科
Quillajaceae|皂皮樹科
Surianaceae|海人樹科
Barbeyaceae|鉤毛樹科
Dirachmaceae|八瓣果科
Nothofagaceae|南山毛櫸科
Ticodendraceae|核果樺科
Apodanthaceae|風生花科
Corynocarpaceae|榛果木科
Datiscaceae|疣柱花科
Lepidobotryaceae|鱗球穗科
Huaceae|蒜樹科
Cunoniaceae|南薔薇科
Cephalotaceae|囊葉草科
Irvingiaceae|苞芽樹科
Ctenolophonaceae|梳狀冠科
Bonnetiaceae|多籽樹科
Calophyllaceae|紅厚殼科
Hypericaceae|金絲桃科
Caryocaraceae|油桃木科
Lophopyxidaceae|五翼果科
Putranjivaceae|非洲核果木科
Balanopaceae|橡實科
Trigoniaceae|三角果科
Dichapetalaceae|毒鼠子科
Euphroniaceae|合絲花科
Chrysobalanaceae|可可李科
Humiriaceae|樹脂核科
Achariaceae|脊臍子科
Goupiaceae|毛葯樹科
Lacistemataceae|裂葯花科
Peraceae|蚌殼木科
Picrodendraceae|苦胡桃科
Francoaceae|花莖草科
Vochysiaceae|萼囊花科
Crypteroniaceae|隱翼木科
