namecode|FullnameNoAuthors|accepted_namecode|tropicos_namecode|OutputHowMatched|family_with_authors|publication|collation|volume|issue|pages|OutputTitlePageYear|OutputYearPublished|OutputNomenclatureStatus|bhlink
124|Aspidiaceae|125|50239151|FullnameNoAuthorsIllegit|Aspidiaceae Frank|Syn. Pflanzenk. (ed. 2)|3: 1469|3||1469|1877||Illegitimate|
101|Psilotaceae||42000408|FullnameNoAuthors|Psilotaceae J.W. Griff. & Henfr.|Microgr. Dict.|540|||540|1855||Legitimate|
103|Selaginellaceae||42000411|FullnameNoAuthors|Selaginellaceae Willk.|Anleit. Stud. Bot.|2: 163|2||163|1854||Legitimate|
104|Isoetaceae||42000400|FullnameNoAuthors|Isoetaceae Dumort.|Anal. Fam. Pl.|67|||67|1829||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:443&volume=&issue=&spage=67&date=1829
105|Equisetaceae||42000396|FullnameNoAuthors|Equisetaceae Michx. ex DC.|Essai Propr. Méd. Pl.|49|||49|1804||Legitimate|
106|Ophioglossaceae||42000404|FullnameNoAuthors|Ophioglossaceae Martinov|Tekhno-Bot. Slovar.|438|||438|1820||Legitimate|
108|Osmundaceae||42000405|FullnameNoAuthors|Osmundaceae Martinov|Tekhno-Bot. Slovar.|445|||445|1820||Legitimate|
109|Schizaeaceae||42000410|FullnameNoAuthors|Schizaeaceae Kaulf.|Wesen Farrenkr.|119|||119|1827||Legitimate|
110|Gleicheniaceae||42000397|FullnameNoAuthors|Gleicheniaceae C. Presl|Reliq. Haenk.|1: 70|1||70|1825||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:515&volume=1&issue=&spage=70&date=1825
111|Hymenophyllaceae||42000399|FullnameNoAuthors|Hymenophyllaceae Mart.|Consp. Regn. Veg.|3|||3|1835||Legitimate|
112|Plagiogyriaceae||42000421|FullnameNoAuthors|Plagiogyriaceae Bower|Ann. Bot. (Oxford)|40: 484|40||484|1926||Legitimate|
114|Cyatheaceae||42000425|FullnameNoAuthors|Cyatheaceae Kaulf.|Wesen Farrenkr.|119|||119|1827||Legitimate|
115|Dennstaedtiaceae||42000394|FullnameNoAuthors|Dennstaedtiaceae Lotsy|Vortr. Bot. Stammesgesch.|2: 655|2||655|1909||Legitimate|
116|Lindsaeaceae||50109370|FullnameNoAuthors|Lindsaeaceae C. Presl ex M.R. Schomb.|Reis. Br.-Guiana|3: 883, 1048|3||883|1848|1849|Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:51509&volume=3&issue=&spage=883&date=1848
117|Davalliaceae||42000435|FullnameNoAuthors|Davalliaceae M.R. Schomb. ex A.B. Frank|Reis. Br.-Guiana|3: 883|3||883|1848|1849|Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:51509&volume=3&issue=&spage=883&date=1848
118|Oleandraceae||50109360|FullnameNoAuthors|Oleandraceae Ching ex Pic. Serm.|Webbia|20(2): 745|20|2|745|1965||Legitimate|
119|Pteridaceae||42000389|FullnameNoAuthors|Pteridaceae E.D.M. Kirchn.|Schul-Bot.|109|||109|1831||Legitimate|
122|Onocleaceae||42000431|FullnameNoAuthors|Onocleaceae Pic. Serm.|Webbia|24: 708|24||708|1970||Legitimate|
123|Blechnaceae||42000393|FullnameNoAuthors|Blechnaceae Newman|Hist. Brit. Ferns (ed. 2)|8|||8|1844||Legitimate|
126|Lomariopsidaceae||42000432|FullnameNoAuthors|Lomariopsidaceae Alston|Taxon|5: 25|5||25|1956||Legitimate|
127|Thelypteridaceae||42000412|FullnameNoAuthors|Thelypteridaceae Ching ex Pic. Serm.|Webbia|24: 709|24||709|1970||Legitimate|
128|Athyriaceae||42000430|FullnameNoAuthors|Athyriaceae Alston|Taxon|5: 25|5||25|1956||Legitimate|
129|Aspleniaceae||42000391|FullnameNoAuthors|Aspleniaceae Newman|Hist. Brit. Ferns|6|||6|1840||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:54705&volume=&issue=&spage=6&date=1840
130|Dipteridaceae||42000455|FullnameNoAuthors|Dipteridaceae Seward & E. Dale|Philos. Trans., Ser. B|194: 487, 499, 502|194||487|1901||Legitimate|
132|Polypodiaceae||42000407|FullnameNoAuthors|Polypodiaceae J. Presl & C. Presl|Delic. Prag.|159|||159|1822||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:46467&volume=&issue=&spage=159&date=1822
133|Grammitidaceae||42000398|FullnameNoAuthors|Grammitidaceae Newman|Hist. Brit. Ferns|7|||7|1840||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:54705&volume=&issue=&spage=7&date=1840
135|Marsileaceae||42000403|FullnameNoAuthors|Marsileaceae Mirb.|Hist. Nat. Vég.|5: 126|5||126|1802||Legitimate|
136|Salviniaceae||42000409|FullnameNoAuthors|Salviniaceae Martinov|Tekhno-Bot. Slovar.|559|||559|1820||Legitimate|
207|Pinaceae||42000417|FullnameNoAuthors|Pinaceae Spreng. ex Rudolphi|Syst. Orb. Veg.|35|||35|1830||Legitimate|
324|Caryophyllaceae||42000077|FullnameNoAuthors|Caryophyllaceae Juss.|Gen. Pl.|299|||299|1789||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=299&date=1789
329|Annonaceae||42000007|FullnameNoAuthors|Annonaceae Juss.|Gen. Pl.|283|||283|1789||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=283&date=1789
337|Berberidaceae||42000031|FullnameNoAuthors|Berberidaceae Juss.|Gen. Pl.|286|||286|1789||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=286&date=1789
350|Actinidiaceae||42000088|FullnameNoAuthors|Actinidiaceae Gilg & Werderm.|Nat. Pflanzenfam. (ed. 2)|21: 36|21||36|1925||Legitimate|
420|Meliaceae||42000264|FullnameNoAuthors|Meliaceae Juss.|Gen. Pl.|263|||263|1789||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=263&date=1789
454|Cucurbitaceae||42000129|FullnameNoAuthors|Cucurbitaceae Juss.|Gen. Pl.|393–394|||393|1789||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=393&date=1789
527|Acanthaceae||42000303|FullnameNoAuthors|Acanthaceae Juss.|Gen. Pl.|102–103|||102|1789||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=102&date=1789
534|Caprifoliaceae||42000317|FullnameNoAuthors|Caprifoliaceae Juss.|Gen. Pl.|210–211|||210|1789||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=210&date=1789
536|Dipsacaceae||42000320|FullnameNoAuthors|Dipsacaceae Juss.|Gen. Pl.|194|||194|1789||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=194&date=1789
537|Campanulaceae||42000310|FullnameNoAuthors|Campanulaceae Juss.|Gen. Pl.|163|||163|1789||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=163&date=1789
540|Sphenocleaceae||42000309|FullnameNoAuthors|Sphenocleaceae T. Baskerv.|Affin. Pl.|110|||110|1839||Legitimate|
601|Alismataceae||42000325|FullnameNoAuthors|Alismataceae Vent.|Tabl. Regn. Veg.|2: 157|2||157|1799||Legitimate|
602|Butomaceae||42000323|FullnameNoAuthors|Butomaceae Mirb.|Hist. Nat. Pl.|8: 194|8||194|1804||Legitimate|
603|Hydrocharitaceae||42000326|FullnameNoAuthors|Hydrocharitaceae Juss.|Gen. Pl.|67|||67|1789||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=67&date=1789
604|Aponogetonaceae||42000327|FullnameNoAuthors|Aponogetonaceae Planch.|Bot. Mag.|, ad pl. 4894||||1856||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:307&volume=&issue=&spage=&date=1856
605|Potamogetonaceae||42000330|FullnameNoAuthors|Potamogetonaceae Bercht. & J. Presl|P?ir. Rostlin|1(7): [1], 3|1|7|[1]|1823||Legitimate|
606|Ruppiaceae||42000331|FullnameNoAuthors|Ruppiaceae Horan.|Prim. Lin. Syst. Nat.|46|||46|1834||Legitimate|
619|Burmanniaceae||42000386|FullnameNoAuthors|Burmanniaceae Blume|Enum. Pl. Javae|27|||27|1827||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:44901&volume=&issue=&spage=27&date=1827
627|Cyperaceae||42000356|FullnameNoAuthors|Cyperaceae Juss.|Gen. Pl.|26|||26|1789||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=26&date=1789
632|Araceae||42000343|FullnameNoAuthors|Araceae Juss.|Gen. Pl.|23|||23|1789||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=23&date=1789
634|Pandanaceae||42000341|FullnameNoAuthors|Pandanaceae R. Br.|Prodr.|340|||340|1810||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:3678&volume=&issue=&spage=340&date=1810
636|Typhaceae||42000360|FullnameNoAuthors|Typhaceae Juss.|Gen. Pl.|25|||25|1789||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=25&date=1789
644|Triuridaceae||42000338|FullnameNoAuthors|Triuridaceae Gardner|Trans. Linn. Soc. London|19: 160|19||160|1843||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:683&volume=19&issue=&spage=160&date=1843
700|Pentaphragmataceae||42000308|FullnameNoAuthors|Pentaphragmataceae J. Agardh|Theoria Syst. Pl.|95|||95|1858||Legitimate|
710|Stylidiaceae||42000311|FullnameNoAuthors|Stylidiaceae R. Br.|Prodr.|565|||565|1810||Legitimate|http://www.biodiversitylibrary.org/openurl?pid=title:3678&volume=&issue=&spage=565&date=1810
