SourceID	FullnameNoAuthors
1	Psilotum
2	Lycopodium
3	Huperzia
4	Lycopodiella
5	Selaginella
6	Isoetes
7	Equisetum
8	Botrychium
9	Helminthostachys
10	Ophioderma
11	Ophioglossum
12	Angiopteris
13	Archangiopteris
14	Marattia
15	Osmunda
16	Lygodium
17	Schizaea
18	Actinostachys
19	Dicranopteris
20	Diplopterygium
21	Abrodictyum
22	Callistopteris
23	Cephalomanes
24	Crepidomanes
25	Gonocormus
26	Hymenophyllum
27	Mecodium
28	Meringium
29	Microgonium
30	Microtrichomanes
31	Nesopteris
32	Pleuromanes
33	Reediella
34	Selenodesmium
35	Vandenboschia
36	Sphaerocionium
37	Trichomanes
38	Crepidophylium
39	Plagiogyria
40	Cibotium
41	Cyathea
42	Alsophila
43	Sphaeropteris
44	Dennstaedtia
45	Histiopteris
46	Hypolepis
47	Microlepia
48	Monachosorum
49	Paesia
50	Pteridium
51	Wicrolepia
52	Lindsaea
53	Sphenomeris
54	Tapeinidium
55	Araiostegia
56	Davallia
57	Humata
58	Leucostegia
59	Arthropteris
60	Nephrolepis
61	Oleandra
62	Cheilanthes
63	Cryptogramma
64	Doryopteris
65	Mildella
66	Onychium
67	Pteris
68	Acrostichum
69	Adiantum
70	Anogramma
71	Coniogramme
72	Gymnopteris
73	Hemionitis
74	Pityrogramma
75	Neurogramme
76	Antrophyum
77	Vaginularia
78	Vittaria
79	Monogramma
80	Matteuccia
81	Onoclea
82	Blechnum
83	Brainea
84	Diploblechnum
85	Struthiopteris
86	Woodwardia
87	Blechnidium
88	Ctenitis
89	Ctenitopsis
90	Hemigramma
91	Hypodematium
92	Lastreopsis
93	Pleocnemia
94	Pteridrys
95	Quercifilix
96	Tectaria
97	Acrophorus
98	Acrorumohra
99	Arachniodes
100	Cyrtogonellum
101	Cyrtomium
102	Diacalpe
103	Dryopteris
104	Leptorumohra
105	Peranema
106	Polystichum
107	Dryopsis
108	Nothoperanema
109	Rumohra
110	Bolbitis
111	Egenolfia
112	Elaphoglossum
113	Lomariopsis
114	Ampelopteris
115	Cyclosorus
116	Dictyocline
117	Leptogramma
118	Metathelypteris
119	Parathelypteris
120	Phegopteris
121	Pronephrium
122	Pseudophegopteris
123	Stegnogramma
124	Thelypteris
125	Macrothelypteris
126	Christella
127	Glaphyropteridopsis
128	Pseudocyclosorus
129	Sphaerostephanos
130	Pneumatopteris
131	Athyrium
132	Cornopteris
133	Cystopteris
134	Diplaziopsis
135	Diplazium
136	Gymnocarpium
137	Woodsia
138	Acystopteris
139	Deparia
140	Dictyodroma
141	Anisocampium
142	Pseudocystopteris
143	Anisogonium
144	Athyriopsis
145	Monomelangium
146	Rhachidosorus
147	Asplenium
148	Dipteris
149	Cheiropleuria
150	Aglaomorpha
151	Arthromeris
152	Belvisia
153	Colysis
154	Crypsinus
155	Drymotaenium
156	Drynaria
157	Lemmaphyllum
158	Lepisorus
159	Leptochilus
160	Loxogramme
161	Microsorum
162	Neocheiropteris
163	Polypodium
164	Pseudodrynaria
165	Pyrrosia
166	Saxiglossum
167	Phymatodes
168	Selliguea
169	Hymenolepis
170	Goniophlebium
171	Lepidogrammitis
172	Phymatopteris
173	Polypodiodes
174	Calymmodon
175	Ctenopteris
176	Grammitis
177	Prosaptia
178	Scleroglossum
179	Xiphopteris
180	Ceratopteris
181	Marsilea
182	Salvinia
183	Azolla
184	Cycas
185	Macrozamia
186	Zamia
187	Ginkgo
188	Pseudotaxus
189	Taxus
190	Torreya
191	Amentotaxus
192	Cephalotaxus
193	Nageia
194	Podocarpus
195	Decussocarpus
196	Abies
197	Cedrus
198	Keteleeria
199	Larix
200	Picea
201	Pinus
202	Pseudolarix
203	Pseudotsuga
204	Tsuga
205	Cryptomeria
206	Cunninghamia
207	Glyptostrobus
208	Metasequoia
209	Sciadopitys
210	Sequoia
211	Sequoiadendron
212	Taiwania
213	Taxodium
214	Agathis
215	Araucaria
216	Callitris
217	Calocedrus
218	Chamaecyparis
219	Cupressus
220	Fokienia
221	Juniperus
222	Thuja
223	Thujopsis
224	Casuarina
225	Myrica
226	Carya
227	Engelhardia
228	Juglans
229	Platycarya
230	Pterocarya
231	Rhamphocarya
232	Populus
233	Salix
234	Alnus
235	Betula
236	Carpinus
237	Corylus
238	Castanea
239	Castanopsis
240	Cyclobalanopsis
241	Fagus
242	Limlia
243	Lithocarpus
244	Pasania
245	Quercus
246	Aphananthe
247	Celtis
248	Trema
249	Ulmus
250	Zelkova
251	Artocarpus
252	Broussonetia
253	Cannabis
254	Castillosa
255	Fatoua
256	Ficus
257	Humulus
258	Maclura
259	Malaisia
260	Morus
261	Cudrania
262	Poikilospermum
263	Boehmeria
264	Chamabainia
265	Cypholophus
266	Debregeasia
267	Dendrocnide
268	Droguetia
269	Elatostema
270	Girardinia
271	Gonostegia
272	Laportea
273	Lecanthus
274	Leucosyke
275	Maoutia
276	Nanocnide
277	Oreocnide
278	Pellionia
279	Pilea
280	Pipturus
281	Pouzolzia
282	Procris
283	Urtica
284	Fleurya
285	Villebrunea
286	Grevillea
287	Helicia
288	Macadamia
289	Olax
290	Schoepfia
291	Santalum
292	Thesium
293	Champereia
294	Korthalsella
295	Loranthus
296	Taxillus
297	Viscum
298	Scurrula
299	Bifaria
300	Hyphear
301	Mistletoe
302	Aspidixia
303	Balanophora
304	Antigonon
305	Coccoloba
306	Fagopyrum
307	Muehlenbeckia
308	Polygonum
309	Rumex
310	Persicaria
311	Antenoron
312	Phytolacca
313	Rivinia
314	Boerhavia
315	Bougainvillea
316	Mirabilis
317	Pisonia
318	Glinus
319	Mollugo
320	Argyroderma
321	Bergeranthus
322	Conophyllum
323	Conophytum
324	Delosperma
325	Dorotheanthus
326	Erepsia
327	Faucaria
328	Gibbaeum
329	Glottiphyllum
330	Hereroa
331	Lampranthus
332	Mesembryanthemum
333	Nycteranthus
334	Pleiospilos
335	Sesuvium
336	Tetragonia
337	Trianthemum
338	Anacampseros
339	Portulaca
340	Portulacaria
341	Rhinephyllum
342	Talinum
343	Anredera
344	Basella
345	Arenaria
346	Cerastium
347	Cucubalus
348	Dianthus
349	Drymaria
350	Gypsophila
351	Lychnis
352	Moehringia
353	Sagina
354	Saponaria
355	Silene
356	Stellaria
357	Titanopsis
358	Vaccaria
359	Spergula
360	Atriplex
361	Beta
362	Chenopodium
363	Kochia
364	Spinacia
365	Suaeda
