FullnameWithAuthors	FullnameNoAuthors	SourceID	OutputNameID	OutputHowMatched	OutputFullNameWithAuthors	OutputAbbreviatedTitle	OutputCollation	OutputVolume	OutputIssue	OutputPage	OutputTitlePageYear	OutputYearPublished	OutputNomenclatureStatus	OutputBHLLink	OutputBatchID
	Ophiuros	13370	40032455	FullnameNoAuthors	Ophiuros C.F. Gaertn.	Suppl. Carp.	1(1): 3, pl. 181, f. 3	1	1	3	1805		Legitimate		7065
	Neohymenopogon	13371	50158738	FullnameNoAuthors	Neohymenopogon Bennet	Indian Forester	107(7): 436	107	7	436	1981		Legitimate		7065
	Neurogramma	13372	40027909	FullnameNoAuthors	Neurogramma Link	Fil. Spec.	138			138	1841		No opinion		7065
	Rivina	13373	40026193	FullnameNoAuthors	Rivina L.	Sp. Pl.	1: 121	1		121	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=121&date=1753	7065
	Eschscholzia	13374	40006162	FullnameNoAuthors	Eschscholzia Cham.	Horae Phys. Berol.	73–75, pl. 15			73	1820		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:11177&volume=&issue=&spage=73&date=1820	7065
	Haematoxylum	13375	40019888	FullnameNoAuthors	Haematoxylum L.	Sp. Pl.	1: 384	1		384	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=384&date=1753	7065
	Mascagnia	13376	40014481	FullnameNoAuthors	Mascagnia (Bertero ex DC.) Bertero	Hortus Ripul.	85			85	1824		nom. cons.		7065
	Melicoccus	13377	40016440	FullnameNoAuthors	Melicoccus P. Browne	Civ. Nat. Hist. Jamaica	210–211			210	1756		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:10826&volume=&issue=&spage=210&date=1756	7065
	Trianthema	13378	40016903	FullnameNoAuthors	Trianthema L.	Sp. Pl.	1: 223	1		223	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=223&date=1753	7065
	Parodia	13379	40001977	FullnameNoAuthors	Parodia Speg.	Anales Soc. Ci. Argent.	96: 70	96		70	1923		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:44792&volume=96&issue=&spage=70&date=1923	7065
	Manilkara	13380	40013265	FullnameNoAuthors	Manilkara Adans.	Fam. Pl.	2: 166, 574	2		166	1763		nom. cons.	http://www.biodiversitylibrary.org/openurl?pid=title:271&volume=2&issue=&spage=166&date=1763	7065
	Dactylorhiza	13381	40021297	FullnameNoAuthors	Dactylorhiza Neck. ex Nevski	Trudy Bot. Inst. Akad. Nauk S.S.S.R., Ser. 1, Fl. Sist. Vyssh. Rast.	4: 332	4		332	1937		nom. cons.		7065
	Castilla	13382	40002514	FullnameNoAuthors	Castilla Cerv.	Gaz. Lit. México	Suppl.: 7–10	Suppl.		7	1794		No opinion		7065
	Kinostemon	13383	40035573	FullnameNoAuthors	Kinostemon Kudô	Trans. Nat. Hist. Soc. Taiwan	19: 1	19		1	1929		No opinion		7065
	Metapetrocosmea	13384	40017960	FullnameNoAuthors	Metapetrocosmea W.T. Wang	Bull. Bot. Res., Harbin	1(4): 38	1	4	38	1981		No opinion		7065
	Bellis	13385	40026218	FullnameNoAuthors	Bellis L.	Sp. Pl.	2: 886	2		886	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=886&date=1753	7065
	Cardiocrinum	13386	40037373	FullnameNoAuthors	Cardiocrinum (Endl.) Lindl.	Veg. Kingd.	205			205	1846	1846	No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:7756&volume=&issue=&spage=205&date=1846	7065
