SourceID	FullnameNoAuthors
4	Lycopodiella
18	Actinostachys
36	Sphaerocionium
37	Trichomanes
38	Crepidophylium
42	Alsophila
43	Sphaeropteris
51	Wicrolepia
75	Neurogramme
79	Monogramma
81	Onoclea
87	Blechnidium
108	Nothoperanema
109	Rumohra
125	Macrothelypteris
126	Christella
127	Glaphyropteridopsis
128	Pseudocyclosorus
129	Sphaerostephanos
130	Pneumatopteris
140	Dictyodroma
141	Anisocampium
142	Pseudocystopteris
143	Anisogonium
144	Athyriopsis
145	Monomelangium
167	Phymatodes
168	Selliguea
169	Hymenolepis
170	Goniophlebium
171	Lepidogrammitis
172	Phymatopteris
173	Polypodiodes
185	Macrozamia
186	Zamia
187	Ginkgo
188	Pseudotaxus
190	Torreya
195	Decussocarpus
197	Cedrus
199	Larix
202	Pseudolarix
207	Glyptostrobus
209	Sciadopitys
210	Sequoia
211	Sequoiadendron
216	Callitris
219	Cupressus
220	Fokienia
223	Thujopsis
226	Carya
230	Pterocarya
231	Rhamphocarya
232	Populus
235	Betula
253	Cannabis
254	Castillosa
261	Cudrania
284	Fleurya
285	Villebrunea
288	Macadamia
291	Santalum
299	Bifaria
300	Hyphear
301	Mistletoe
302	Aspidixia
305	Coccoloba
307	Muehlenbeckia
311	Antenoron
313	Rivinia
320	Argyroderma
321	Bergeranthus
322	Conophyllum
323	Conophytum
324	Delosperma
325	Dorotheanthus
326	Erepsia
327	Faucaria
328	Gibbaeum
329	Glottiphyllum
330	Hereroa
331	Lampranthus
332	Mesembryanthemum
333	Nycteranthus
334	Pleiospilos
337	Trianthemum
338	Anacampseros
341	Rhinephyllum
350	Gypsophila
351	Lychnis
354	Saponaria
357	Titanopsis
358	Vaccaria
361	Beta
363	Kochia
364	Spinacia
376	Telanthera
377	Acanthocereus
378	Aporocactus
379	Astrophytum
380	Austrocylindropuntia
381	Aztekium
382	Brasilicactus
383	Carnegiea
384	Cephalocereus
386	Chamaecereus
387	Cleistocactus
388	Copiapoa
389	Corynopuntia
390	Coryphantha
391	Dolichothele
392	Echinocactus
393	Echinocereus
394	Echinofossulocactus
395	Echinomastus
396	Echinopsis
398	Epixochia
399	Eriocactus
400	Espostoa
401	Ferocactus
402	Frailea
403	Grusonia
404	Gymnocalycium
405	Haageocereus
406	Hamatocactus
407	Hatiora
408	Homalocephala
410	Krainzia
411	Lemaireocereus
412	Leuchtenbergia
413	Lobivia
414	Lophophora
415	Mammillaria
416	Marginatocereus
417	Mediolobivia
418	Myrtillocactus
419	Neobuxbaumia
420	Neochilenia
421	Neolloydia
422	Nopalea
423	Nopalxochia
424	Notocactus
425	Nyctocereus
427	Oreocereus
428	Pachycereus
429	Pelecyphora
430	Peniocereus
431	Pereskia
432	Pilosocereus
433	Polaskia
434	Pseudoespostoa
435	Pseudolobivia
436	Quiabentia
437	Rebutia
438	Rhipsalis
439	Ritterocereus
440	Roseocactus
441	Schlumbergera
443	Soehrensia
444	Strombocactus
445	Tephrocactus
446	Thelocactus
447	Trichocereus
448	Wigginsia
449	Wilcoxia
450	Zygocactus
451	Liriodendron
454	Eucommia
457	Cananga
461	Rollinia
480	Actinodaphne
481	Cylicodaphne
482	Fiwa
483	Aperula
488	Adonis
490	Aquilegia
495	Delphinium
497	Nigella
501	Eriocapitella
505	Nandina
506	Podophyllum
515	Paracyclea
531	Geotaenium
532	Heterotropa
546	Tutcheria
547	Hartia
554	Eschscholtzia
562	Polanisia
568	Cheiranthus
573	Iberis
575	Lobularia
576	Matthiola
578	Orychophragmus
583	Reseda
584	Platanus
591	Adromischus
593	Cotyledon
595	Dudleya
597	Graptopetalum
600	Orostachys
601	Pachyveria
603	Sempervivum
614	Rodgersia
618	Dichroa
622	Chaenomeles
623	Chrysobalanus
625	Cydonia
631	Kerria
650	Stranvaesia
654	Adenanthera
664	Butea
671	Caragana
676	Cicer
678	Codariocalyx
679	Copaifera
681	Cytisus
683	Daviesia
694	Enterolobium
701	Gliricidia
703	Glycyrrhiza
704	Haematoxylon
705	Hovea
706	Hymenaea
708	Inocarpus
709	Intsia
712	Lathyrus
715	Lonchocarpus
716	Lotononis
719	Lysidice
725	Mezoneurum
728	Mirbelia
730	Myroxylon
735	Ornithopus
737	Pahudia
738	Parkia
739	Parkinsonia
740	Peltophorum
743	Pisum
744	Pithecellobium
745	Pongamia
746	Prosopis
747	Psophocarpus
753	Robinia
755	Saraca
758	Sindora
761	Spertium
765	Tamarindus
773	Xylia
776	Whitfordiodendron
777	Atylosia
778	Brownea
779	Catenaria
784	Pelargonium
786	Tropaeolum
788	Erythroxylum
797	Cicca
802	Emblica
806	Gelonium
810	Hura
811	Jatropha
820	Pedilanthus
824	Synostemon
825	Galarhoeus
826	Homalanthus
827	Securinega
828	Baccaurea
831	Aegle
835	Euodia
839	Microcitrus
842	Pilocarpus
843	Poncirus
844	Ruta
850	Fagara
854	Quassia
855	Canarium
858	Cedrela
861	Khaya
865	Azadirachta
866	Bunchosia
868	Malpighia
870	Stigmaphyllon
871	Triopteris
873	Byrsonima
878	Anacardium
879	Bouea
881	Koordersiodendron
883	Melanorrhoea
888	Spondias
897	Melicocca
898	Nephelium
900	Sandoricum
913	Genitia
914	Gymnosporia
923	Mappianthus
924	Stemonurus
927	Hovenia
932	Zizyphus
933	Frangula
937	Columella
951	Althaea
952	Gossypium
954	Lavatera
957	Malvaviscus
963	Ceiba
964	Durio
965	Ochroma
967	Brachychiton
973	Pentapetes
977	Theobroma
979	Ambroma
981	Aquilaria
984	Edgeworthia
989	Douralis
992	Hydnocarpus
996	Carrierea
1000	Adenia
1002	Bixa
1031	Lawsonia
1034	Peplis
1036	Callistemon
1037	Couroupita
1044	Syncarpia
1046	Tristania
1047	Baeckea
1048	Metrosideros
1049	Myrtus
1052	Lecythis
1066	Oxyspora
1067	Plagiopetalum
1071	Combretum
1076	Clarkia
1078	Fuchsia
1079	Gaura
1090	Cornus
1093	Acanthopanax
1095	Cussonia
1097	Dizygotheca
1101	Nothopanax
1104	Polyscias
1108	Textoria
1109	Boerlagiodendron
1110	Kalopanax
1114	Carum
1115	Caucalis
1119	Coriandrum
