FullnameWithAuthors	FullnameNoAuthors	SourceID	OutputNameID	OutputHowMatched	OutputFullNameWithAuthors	OutputAbbreviatedTitle	OutputCollation	OutputVolume	OutputIssue	OutputPage	OutputTitlePageYear	OutputYearPublished	OutputNomenclatureStatus	OutputBHLLink	OutputBatchID
	Lycopodiella	4	40010248	FullnameNoAuthors	Lycopodiella Holub	Preslia	36: 20, 22	36		20	1964		Legitimate		7067
	Actinostachys	18	40031900	FullnameNoAuthors	Actinostachys Wall.	Numer. List	1			1	1829		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:1917&volume=&issue=&spage=1&date=1829	7067
	Sphaerocionium	36	40003121	FullnameNoAuthors	Sphaerocionium C. Presl	Hymenophyllaceae	33, t. 4, f. B, t. 10, f. B–C			33	1843		No opinion		7067
	Trichomanes	37	40017616	FullnameNoAuthors	Trichomanes L.	Sp. Pl.	2: 1097	2		1097	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=1097&date=1753	7067
	Crepidophylium	38													7067
	Alsophila	42	40010938	FullnameNoAuthors	Alsophila R. Br.	Prodr.	158			158	1810		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:3678&volume=&issue=&spage=158&date=1810	7067
	Sphaeropteris	43	40003223	FullnameNoAuthors	Sphaeropteris Bernh.	J. Bot. (Schrader)	1800(2): 122	1800	2	122	1801		Legitimate		7067
	Wicrolepia	51													7067
	Neurogramme	75													7067
	Monogramma	79	40022044	FullnameNoAuthors	Monogramma Comm. ex Schkuhr	Deutschl. Krypt. Gew.	1: 82	1		82	1809		Legitimate		7067
	Onoclea	81	40032044	FullnameNoAuthors	Onoclea L.	Sp. Pl.	2: 1062	2		1062	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=1062&date=1753	7067
	Blechnidium	87	40028083	FullnameNoAuthors	Blechnidium T. Moore	Brit. Ferns	2: 208–210	2		208	1860		Legitimate		7067
	Nothoperanema	108	40029099	FullnameNoAuthors	Nothoperanema (Tagawa) Ching	Acta Phytotax. Sin.	11(1): 25–26	11	1	25	1966		Legitimate		7067
	Rumohra	109	40027693	FullnameNoAuthors	Rumohra Raddi	Opusc. Sci.	3: 290	3		290	1819		Legitimate		7067
	Macrothelypteris	125	40011850	FullnameNoAuthors	Macrothelypteris (H. Itô) Ching	Acta Phytotax. Sin.	8(4): 308–309	8	4	308	1963		Legitimate		7067
	Christella	126	40008217	FullnameNoAuthors	Christella H. Lév.	Fl. Kouy-Tchéou	472			472	1915		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:448&volume=&issue=&spage=472&date=1915	7067
	Glaphyropteridopsis	127	40014664	FullnameNoAuthors	Glaphyropteridopsis Ching	Acta Phytotax. Sin.	8(4): 320	8	4	320	1963		Legitimate		7067
	Pseudocyclosorus	128	40017652	FullnameNoAuthors	Pseudocyclosorus Ching	Acta Phytotax. Sin.	8(4): 322–324	8	4	322	1963		Legitimate		7067
	Sphaerostephanos	129	40003286	FullnameNoAuthors	Sphaerostephanos J. Sm.	Gen. Fil. (Hooker)	, pl. 24				1842		No opinion		7067
	Pneumatopteris	130	40012300	FullnameNoAuthors	Pneumatopteris Nakai	Bot. Mag. (Tokyo)	47(555): 179	47	555	179	1933		No opinion		7067
	Dictyodroma	140	40030352	FullnameNoAuthors	Dictyodroma Ching	Acta Phytotax. Sin.	9(1): 57–58	9	1	57	1964		No opinion		7067
	Anisocampium	141	40014994	FullnameNoAuthors	Anisocampium C. Presl	Abh. Königl. Böhm. Ges. Wiss., ser. 5,	6: 418–419	6		418	1851		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:79652&volume=6&issue=&spage=418&date=1851	7067
	Pseudocystopteris	142	40017676	FullnameNoAuthors	Pseudocystopteris Ching	Acta Phytotax. Sin.	9(1): 76–77	9	1	76	1964		No opinion		7067
	Anisogonium	143	40015084	FullnameNoAuthors	Anisogonium C. Presl	Tent. Pterid.	115–116, pl. 4, f. 6, 13, 18			115	1836		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:630&volume=&issue=&spage=115&date=1836	7067
	Athyriopsis	144	40022308	FullnameNoAuthors	Athyriopsis Ching	Acta Phytotax. Sin.	9(1): 63–65	9	1	63	1964		No opinion		7067
	Monomelangium	145	40022092	FullnameNoAuthors	Monomelangium Hayata	Bot. Mag. (Tokyo)	42(499): 343–344	42	499	343	1928		No opinion		7067
	Phymatodes	167	40007947	FullnameNoAuthors	Phymatodes C. Presl	Tent. Pterid.	195–196, pl. 8, f. 9–12, 14–16, 18–20			195	1836		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:630&volume=&issue=&spage=195&date=1836	7067
	Selliguea	168	40035079	FullnameNoAuthors	Selliguea Bory	Dict. Class. Hist. Nat.	6: 587–588	6		587	1824		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:33901&volume=6&issue=&spage=587&date=1824	7067
	Hymenolepis	169	40029492	FullnameNoAuthors	Hymenolepis Cass.	Bull. Sci. Soc. Philom. Paris	1817: 138	1817		138	1817		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:44718&volume=1817&issue=&spage=138&date=1817	7067
	Goniophlebium	170	40016236	FullnameNoAuthors	Goniophlebium (Blume) C. Presl	Tent. Pterid.	185, pl. 7, f.13–14			185	1836		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:630&volume=&issue=&spage=185&date=1836	7067
	Lepidogrammitis	171	40004301	FullnameNoAuthors	Lepidogrammitis Ching	Sunyatsenia	5(4): 258	5	4	258	1940		No opinion		7067
	Phymatopteris	172	40007956	FullnameNoAuthors	Phymatopteris Pic. Serm.	Webbia	28(2): 460	28	2	460	1973		No opinion		7067
	Polypodiodes	173	40014214	FullnameNoAuthors	Polypodiodes Ching	Acta Phytotax. Sin.	16(4): 26–27	16	4	26	1978		Legitimate		7067
	Macrozamia	185	40011893	FullnameNoAuthors	Macrozamia Miq.	Monogr. Cycad.	35			35	1842		No opinion		7067
	Zamia	186	40028101	FullnameNoAuthors	Zamia L.	Sp. Pl. (ed. 2)	2: 1659	2		1659	1763		nom. cons.	http://www.biodiversitylibrary.org/openurl?pid=title:11179&volume=2&issue=&spage=1659&date=1763	7067
	Ginkgo	187	40014409	FullnameNoAuthors	Ginkgo L.	Mant. Pl.	2: 313	2		313	1771		Legitimate		7067
	Pseudotaxus	188	40018611	FullnameNoAuthors	Pseudotaxus W.C. Cheng	Res. Notes Forest. Inst. Natl. Centr. Univ. Nanking, Dendrol. Ser.	1: 1	1		1	1947		No opinion		7067
	Torreya	190	40015576	FullnameNoAuthors	Torreya Arn.	Ann. Nat. Hist.	1: 130–132	1		130	1838		nom. cons.	http://www.biodiversitylibrary.org/openurl?pid=title:4227&volume=1&issue=&spage=130&date=1838	7067
	Decussocarpus	195													7067
	Cedrus	197	40003345	FullnameNoAuthors	Cedrus Trew	Cedr. Lib. Hist.	6			6	1757		Legitimate		7067
	Larix	199	40002025	FullnameNoAuthors	Larix Mill.	Gard. Dict. Abr. (ed. 4)	vol. 2			vol. 2	1754		No opinion		7067
	Pseudolarix	202	40017958	FullnameNoAuthors	Pseudolarix Gordon	Pinetum	292			292	1858		nom. cons.		7067
	Glyptostrobus	207	40015546	FullnameNoAuthors	Glyptostrobus Endl.	Syn. Conif.	69			69	1847		No opinion		7067
	Sciadopitys	209	40033268	FullnameNoAuthors	Sciadopitys Siebold & Zucc.	Fl. Jap.	2(1): 1	2	1	1	1842		No opinion		7067
	Sequoia	210	40035464	FullnameNoAuthors	Sequoia Endl.	Syn. Conif.	197			197	1847		nom. cons.		7067
	Sequoiadendron	211	40035470	FullnameNoAuthors	Sequoiadendron J. Buchholz	Amer. J. Bot.	26: 536	26		536	1939		nom. cons.		7067
	Callitris	216	40035250	FullnameNoAuthors	Callitris Vent.	Dec. Gen. Nov.	10			10	1808		No opinion		7067
	Cupressus	219	40018366	FullnameNoAuthors	Cupressus L.	Sp. Pl.	2: 1002	2		1002	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=1002&date=1753	7067
	Fokienia	220	40010080	FullnameNoAuthors	Fokienia A. Henry & H.H. Thomas	Gard. Chron., ser. 3	49: 67	49		67	1911		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:48390&volume=49&issue=&spage=67&date=1911	7067
	Thujopsis	223	40013884	FullnameNoAuthors	Thujopsis Siebold & Zucc. ex Endl.	Gen. Pl.	2: 24	2		24	1842		nom. cons.	http://www.biodiversitylibrary.org/openurl?pid=title:442&volume=2&issue=&spage=24&date=1842	7067
	Carya	226	40002070	FullnameNoAuthors	Carya Nutt.	Gen. N. Amer. Pl.	2: 220	2		220	1818		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:290&volume=2&issue=&spage=220&date=1818	7067
	Pterocarya	230	40019606	FullnameNoAuthors	Pterocarya Kunth	Ann. Sci. Nat. (Paris)	2: 345	2		345	1824		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:6343&volume=2&issue=&spage=345&date=1824	7067
